 Time,Acc_x,Acc_y,Acc_z,HRM_b,HRM_c,HRM_r,HRM_f,PPG_r,PPG_o,BTHRM
 1655063123922.54077148437,,,,,,24030,7595,1982,22048,
 1655063123929.19360351562,,,,,,24032,8859,2016,22016,
 1655063123962.06103515625,,,,,,24167,9745,2183,21984,
 1655063123992.76171875,,,,,,24275,9998,2323,21952,
 1655063124013.08642578125,0.32983398437,0.15393066406,-1.01721191406,,,,,,,,
 1655063124027.12451171875,,,,,,24289,9436,2369,21920,
 1655063124073.572265625,,,,60,41,,,,
 1655063124082.2392578125,0.73754882812,0.35217285156,-1.00073242187,,,,,,,,
 1655063124125.84887695312,,,,,,24273,8010,2385,21888,
 1655063124132.5322265625,,,,,,24278,2419,2454,21824,
 1655063124179.80395507812,0.51391601562,0.36853027343,-0.94299316406,,,,,,,,
 1655063124184.13745117187,,,,,,24044,-1465,2252,21792,
 1655063124277.36865234375,0.00305175781,0.35314941406,-0.9140625,,,,,,,,
 1655063124281.61059570312,,,,,,23213,-14739,1517,21696,
 1655063124374.90283203125,0.06921386718,0.36901855468,-0.88061523437,,,,,,,,
 1655063124379.20581054687,,,,,,23314,-24088,1714,21600,
 1655063124434.96142578125,0.57946777343,0.36071777343,-0.93603515625,,,,,,,,
 1655063124484.49145507812,,,,,,23285,-26227,1749,21536,
 1655063124596.36889648437,-0.10009765625,0.38598632812,-0.68518066406,,,,,,,,
 1655063124600.39721679687,,,,,,22246,-26639,838,21408,
 1655063124632.2880859375,,,,,,21361,-28784,17,21344,
 1655063124658.1669921875,-0.81591796875,0.52844238281,-0.98168945312,,,,,,,,
 1655063124667.13916015625,,,,,,21329,-30527,2198,19131,
 1655063124704.67578125,,,,,,21297,-32541,2127,19170,
 1655063124719.53784179687,0.56872558593,0.42993164062,-1.14782714843,,,,,,,,
 1655063124756.76928710937,,,,,,21243,-32768,2105,19138,
 1655063124765.98559570312,,,,,,21200,-32768,2094,19106,
 1655063124817.68237304687,0.658203125,0.29223632812,-1.01257324218,,,,,,,,
 1655063124821.95483398437,,,,,,21260,-32768,2186,19074,
 1655063124922.51025390625,-0.07556152343,0.47814941406,-0.81201171875,,,,,,,,
 1655063124994.53173828125,,,,,,21595,-31275,2617,18978,
 1655063125003.93115234375,-0.63549804687,0.6513671875,-0.79760742187,,,,,,,,
 1655063125054.55981445312,,,,,,20586,-13220,1704,18882,
 1655063125061.51782226562,-0.29223632812,0.62475585937,-0.94836425781,,,,,,,,
 1655063125137.10986328125,,,,,,20371,-6015,1521,18850,
 1655063125144.03735351562,0.34008789062,0.50390625,-1.08325195312,,,,,,,,
 1655063125199.51831054687,,,,,,20192,11401,1438,18754,
 1655063125206.44580078125,0.45776367187,0.38098144531,-1.0576171875,,,,,,,,
 1655063125294.70263671875,,,,,,20296,14213,1574,18722,
 1655063125360.98681640625,0.05712890625,0.34020996093,-0.89233398437,,,,,,,,
 1655063125365.01513671875,,,,,,20442,8169,1848,18594,
 1655063125408.68579101562,,,,60,41,,,,
 1655063125414.392578125,,,,,,19454,-1325,924,18530,
 1655063125441.58374023437,-0.45227050781,0.54943847656,-0.71350097656,,,,,,,,
 1655063125474.72583007812,,,,,,19326,-5876,828,18498,
 1655063125576.013671875,0.18835449218,0.67724609375,-1.0029296875,,,,,,,,
 1655063125580.22509765625,,,,,,19069,-13973,667,18402,
 1655063125627.49682617187,0.662109375,0.50549316406,-1.10974121093,,,,,,,,
 1655063125631.76928710937,,,,,,19265,-13522,927,18338,
 1655063125672.3271484375,,,,,,19468,-11955,1162,18306,
 1655063125680.10913085937,0.44750976562,0.30456542968,-0.94689941406,,,,,,,,
 1655063125724.35961914062,,,,,,19588,-9988,1314,18274,
 1655063125741.26635742187,,,,,,19474,-8120,1232,18242,
 1655063125777.5517578125,-0.14770507812,0.35668945312,-0.81884765625,,,,,,,,
 1655063125781.88525390625,,,,,,19222,-6619,1012,18210,
 1655063125845.11767578125,-0.44934082031,0.56970214843,-0.84252929687,,,,,,,,
 1655063125887.07934570312,,,,,,18971,-5876,793,18178,
 1655063125894.43408203125,,,,,,18783,-5982,637,18146,
 1655063125956.20166015625,,,,65,0,,,,
 1655063125962.15258789062,0.50622558593,0.44396972656,-1.04638671875,,,,,,,,
 1655063126014.58178710937,,,,,,18656,-8745,574,18082,
 1655063126021.50927734375,0.41333007812,0.22375488281,-0.87048339843,,,,,,,,
 1655063126082.1171875,,,,,,18740,-14017,722,18018,
 1655063126089.01416015625,-0.04699707031,0.25549316406,-0.76232910156,,,,,,,,
 1655063126134.63793945312,,,,,,19056,-19034,1102,17954,
 1655063126143.94580078125,,,,,,18928,-22035,1136,17922,
 1655063126182.5810546875,-0.52221679687,0.43383789062,-0.78393554687,,,,,,,,
 1655063126186.88403320312,,,,,,18737,-22661,879,17858,
 1655063126237.57373046875,,,,,,18577,-22775,751,17826,
 1655063126247.30883789062,-0.42175292968,0.54626464843,-0.95336914062,,,,,,,,
 1655063126284.72338867187,,,,,,18441,-22444,647,17794,
 1655063126291.49829101562,,,,,,18414,-21897,652,17762,
 1655063126348.1083984375,0.30151367187,0.48400878906,-1.04907226562,,,,,,,,
 1655063126389.6123046875,,,,,,18101,-21273,403,17698,
 1655063126398.95068359375,,,,,,18114,-21579,448,17666,
 1655063126450.1591796875,,,,,,18381,-25456,811,17570,
 1655063126527.673828125,0.31091308593,0.37182617187,-0.85803222656,,,,,,,,
 1655063126549.86010742187,,,,,,18415,-29194,909,17506,
 1655063126559.0458984375,-0.36987304687,0.5205078125,-0.76489257812,,,,,,,,
 1655063126594.41577148437,,,,,,18235,-30738,761,17474,
 1655063126615.62548828125,,,,,,18060,-31580,618,17442,
 1655063126645.86840820312,-0.6748046875,0.6220703125,-0.7236328125,,,,,,,,
 1655063126683.5576171875,,,,,,17562,-31671,152,17410,
 1655063126719.26318359375,,,,,,17530,-30594,2587,14943,
 1655063126750.0859375,,,,,,17498,-28504,2531,14967,
 1655063126783.68579101562,,,,,,17451,-25438,2516,14935,
 1655063126799.00561523437,0.72277832031,0.5986328125,-0.99487304687,,,,,,,,
 1655063126817.3466796875,,,,,,17524,-21514,2621,14903,
 1655063126850.85498046875,,,,,,17729,-16973,2858,14871,
 1655063126881.76928710937,0.767578125,0.48864746093,-0.94653320312,,,,,,,,
 1655063126888.26953125,,,,,,17872,-12052,3033,14839,
 1655063126918.60400390625,,,,,,17943,-7071,3136,14807,
 1655063126952.14282226562,,,,,,17854,-2312,3079,14775,
 1655063126959.98583984375,0.10046386718,0.48742675781,-0.86352539062,,,,,,,,
 1655063126985.40698242187,,,,,,17675,1945,2932,14743,
 1655063127019.09838867187,,,,,,17537,5661,2826,14711,
 1655063127041.16259765625,-0.57641601562,0.54406738281,-0.73413085937,,,,,,,,
 1655063127110.04077148437,,,,,,,,,,104
 1655063127112.81787109375,,,,,,16997,11023,2350,14647,
 1655063127127.80200195312,0.08422851562,0.86047363281,-1.04968261718,,,,,,,,
 1655063127169.6416015625,,,,,,16915,12809,2300,14615,
 1655063127176.4775390625,,,,,,16877,14002,2294,14583,
 1655063127187.18920898437,,,,,,16732,14614,2181,14551,
 1655063127225.3056640625,0.73559570312,0.70141601562,-1.03466796875,,,,,,,,
 1655063127284.66235351562,,,,,,16776,14797,2257,14519,
 1655063127292.35278320312,0.55786132812,0.51989746093,-0.87536621093,,,,,,,,
 1655063127334.71118164062,,,,,,17139,14080,2684,14455,
 1655063127340.20434570312,,,,65,0,,,,
 1655063127404.84057617187,0.0517578125,0.4716796875,-0.75634765625,,,,,,,,
 1655063127409.1435546875,,,,,,17337,9517,2978,14359,
 1655063127465.23486328125,-0.36352539062,0.56079101562,-0.65905761718,,,,,,,,
 1655063127469.568359375,,,,,,17236,3522,2941,14295,
 1655063127578.85180664062,-0.32067871093,0.72216796875,-0.67004394531,,,,,,,,
 1655063127583.12426757812,,,,,,16888,-10068,2774,14231,
 1655063127630.30444335937,0.2861328125,0.81201171875,-0.71069335937,,,,,,,,
 1655063127634.607421875,,,,,,16681,-20789,2546,14135,
 1655063127697.87036132812,0.71923828125,0.83520507812,-0.72119140625,,,,,,,,
 1655063127747.21728515625,,,,,,16823,-30333,2752,14071,
 1655063127759.21069335937,,,,,,16956,-32768,2917,14039,
 1655063127802.75927734375,0.54284667968,0.72717285156,-0.69384765625,,,,,,,,
 1655063127807.06225585937,,,,,,17137,-32768,3162,13975,
 1655063127862.78735351562,0.140625,0.55908203125,-0.6142578125,,,,,,,,
 1655063127866.99877929687,,,,,,17222,-32768,3311,13911,
 1655063127925.43994140625,-0.23449707031,0.63488769531,-0.62109375,,,,,,,,
 1655063127929.59033203125,,,,,,16988,-29665,3297,13879,
 1655063127982.6298828125,,,,,,16893,-25488,3078,13815,
 1655063127994.2265625,,,,,,16897,-20994,3114,13783,
 1655063128035.39477539062,-0.20837402343,0.72961425781,-0.72119140625,,,,,,,,
