 Time,Acc_x,Acc_y,Acc_z,HRM_b,HRM_c,HRM_r,HRM_f,PPG_r,PPG_o,BTHRM
 1655063123833.97094726562,-0.27368164062,-0.16333007812,-0.84143066406,,,,,,,,
 1655063123846.36108398437,,,,,,4094,-6318,2047,0,
 1655063123887.34619140625,,,,,,4222,-12698,2111,0,
 1655063123913.65234375,-0.03173828125,-0.02722167968,-0.99694824218,,,,,,,,
 1655063123928.69750976562,,,,,,4414,-18316,2207,0,
 1655063123970.07934570312,,,,,,4702,-22785,2351,0,
 1655063123993.91357421875,0.50744628906,0.21557617187,-1.08093261718,,,,,,,,
 1655063124011.1865234375,,,,,,4910,-25890,2455,0,
 1655063124052.04956054687,,,,,,5038,-27497,2519,0,
 1655063124074.96826171875,0.62963867187,0.23291015625,-1.0439453125,,,,,,,,
 1655063124093.4619140625,,,,,,5054,-27655,2527,0,
 1655063124134.38598632812,,,,,,4990,-26513,2495,0,
 1655063124153.58154296875,0.16027832031,0.19714355468,-0.94750976562,,,,,,,,
 1655063124175.859375,,,,,,4990,-24249,2495,0,
 1655063124216.7529296875,,,,,,5070,-21186,2535,0,
 1655063124234.0869140625,-0.00134277343,0.20764160156,-0.91613769531,,,,,,,,
 1655063124258.07373046875,,,,,,5278,-17564,2639,0,
 1655063124299.11987304687,,,,,,5502,-13754,2751,0,
 1655063124313.798828125,0.37353515625,0.19165039062,-1.03271484375,,,,,,,,
 1655063124341.0205078125,,,,,,5662,-10060,2831,0,
 1655063124382.00561523437,,,,,,5758,-6695,2879,0,
 1655063124393.5107421875,0.54431152343,0.19775390625,-1.05798339843,,,,,,,,
 1655063124422.8076171875,,,,,,5886,-3725,2943,0,
 1655063124464.73876953125,,,,,,,,,,112
 1655063124467.51586914062,,,,,,,,,,107
 1655063124473.43627929687,,,,,,5934,-1273,2967,0,
 1655063124546.19018554687,-0.13073730468,0.23291015625,-0.79040527343,,,,,,,,
 1655063124552.96508789062,,,,,,6006,664,3003,0,
 1655063124601.61010742187,,,,,,6206,3432,3103,0,
 1655063124633.623046875,-0.28393554687,0.388671875,-0.99267578125,,,,,,,,
 1655063124669.0234375,,,,,,6078,4398,3039,0,
 1655063124713.73168945312,,,,,,6142,5295,3071,0,
 1655063124718.61450195312,0.62329101562,0.34802246093,-1.18627929687,,,,,,,,
 1655063124752.45849609375,,,,,,6270,6223,3135,0,
 1655063124796.3427734375,0.53051757812,0.25708007812,-1.01489257812,,,,,,,,
 1655063124800.46264648437,,,,,,6270,7160,3135,0,
 1655063124834.70336914062,,,,,,6270,8150,3135,0,
 1655063124879.19799804687,-0.28100585937,0.35021972656,-0.82873535156,,,,,,,,
 1655063124883.80615234375,,,,,,6366,9217,3183,0,
 1655063124916.88720703125,,,,,,6478,10363,3239,0,
 1655063124953.59985351562,-0.669921875,0.48229980468,-0.84814453125,,,,,,,,
 1655063124999.37622070312,,,,,,6398,11426,3199,0,
 1655063125040.7275390625,-0.06640625,0.44482421875,-1.060546875,,,,,,,,
 1655063125045.03051757812,,,,,,6382,12386,3191,0,
 1655063125081.65161132812,,,,,,6382,13127,3191,0,
 1655063125113.38989257812,0.427734375,0.28344726562,-1.18872070312,,,,,,,,
 1655063125125.71899414062,,,,,,6526,13607,3263,0,
 1655063125164.72045898437,,,,,,6742,13758,3371,0,
 1655063125193.5595703125,0.27453613281,0.16760253906,-1.02026367187,,,,,,,,
 1655063125206.40747070312,,,,,,6894,13500,3447,0,
 1655063125211.35131835937,,,,42,71,,,,
 1655063125246.50756835937,,,,,,6998,12759,3499,0,
 1655063125273.72924804687,-0.21899414062,0.18029785156,-0.73107910156,,,,,,,,
 1655063125287.70629882812,,,,,,7150,11414,3575,0,
 1655063125328.75244140625,,,,,,7166,9300,3583,0,
 1655063125354.38720703125,-0.55444335937,0.39367675781,-0.78186035156,,,,,,,,
 1655063125370.22583007812,,,,,,7086,6354,3543,0,
 1655063125411.05834960937,,,,,,7070,2646,3535,0,
 1655063125433.7939453125,-0.09387207031,0.52856445312,-1.10876464843,,,,,,,,
 1655063125452.31811523437,,,,,,7070,-1833,3535,0,
 1655063125525.25512695312,,,,,,7038,-7030,3519,0,
 1655063125541.39892578125,,,,,,7070,-12802,3535,0,
 1655063125575.97534179687,,,,,,7126,-18864,3563,0,
 1655063125593.52294921875,0.3984375,0.15063476562,-1.04089355468,,,,,,,,
 1655063125658.31176757812,,,,,,7038,-24912,3519,0,
 1655063125673.75366210937,-0.1591796875,0.2275390625,-0.89916992187,,,,,,,,
 1655063125699.6630859375,,,,,,7070,-30476,3535,0,
