 Time,Acc_x,Acc_y,Acc_z,HRM_b,HRM_c,HRM_r,HRM_f,PPG_r,PPG_o,BTHRM
 1655061769892.75561523437,,,,,,1749,3441,1749,0,
 1655061769926.50805664062,,,,,,1736,1673,1736,0,
 1655061769960.01635742187,,,,,,1717,-243,1717,0,
 1655061769993.82983398437,,,,,,1706,-2266,1706,0,
 1655061770068.4453125,,,,,,1709,-4317,1709,0,
 1655061770094.90405273437,,,,,,1705,-8251,1705,0,
 1655061770128.16821289062,,,,,,1773,-9893,1773,0,
 1655061770161.73754882812,,,,,,1856,-11152,1856,0,
 1655061770195.5205078125,,,,,,1905,-11974,1905,0,
 1655061770229.08984375,,,,,,1971,-12256,1971,0,
 1655061770262.78125,,,,,,1994,-11958,1994,0,
 1655061770296.3505859375,,,,,,2027,-11088,2027,0,
 1655061770321.52758789062,0.05151367187,-0.03674316406,-1.00073242187,,,,,,,,
 1655061770331.11010742187,,,,,,2001,-9696,2001,0,
 1655061770363.70288085937,,,,,,2012,-7843,2012,0,
 1655061770397.33325195312,,,,,,2027,-5637,2027,0,
 1655061770431.32983398437,,,,,,2076,-3268,2076,0,
 1655061770464.197265625,,,,,,2067,-877,2067,0,
 1655061770498.16333007812,,,,,,2097,1399,2097,0,
 1655061770531.42749023437,,,,,,2110,3409,2110,0,
 1655061770565.24096679687,,,,,,2087,5024,2087,0,
 1655061770598.65771484375,,,,,,2062,6183,2062,0,
 1655061770632.56274414062,,,,,,2071,6868,2071,0,
 1655061770665.9794921875,,,,,,2068,7065,2068,0,
 1655061770700.525390625,,,,,,2065,6812,2065,0,
 1655061770706.5068359375,,,,66,100,,,,
 1655061770733.27075195312,,,,,,2041,6168,2041,0,
 1655061770767.51147460937,,,,,,2022,5211,2022,0,
 1655061770800.56201171875,,,,,,2041,4068,2041,0,
 1655061770834.4365234375,,,,,,2041,2792,2041,0,
 1655061770868.005859375,,,,,,1995,1427,1995,0,
 1655061770901.66674804687,,,,,,1946,39,1946,0,
 1655061770935.23608398437,,,,,,1932,-1313,1932,0,
 1655061770968.7138671875,,,,,,1936,-2633,1936,0,
 1655061771002.283203125,,,,,,1979,-3874,1979,0,
 1655061771068.8115234375,,,,,,2048,-5017,2048,0,
 1655061771103.69311523437,,,,,,2203,-6870,2203,0,
 1655061771122.82763671875,0.0458984375,-0.06091308593,-1.0302734375,,,,,,,,
 1655061771136.83520507812,,,,,,2219,-7519,2219,0,
 1655061771170.49609375,,,,,,2255,-7928,2255,0,
 1655061771204.09594726562,,,,,,2247,-8032,2247,0,
 1655061771237.7568359375,,,,,,2250,-7827,2250,0,
 1655061771271.326171875,,,,,,2260,-7252,2260,0,
 1655061771304.83447265625,,,,,,2250,-6342,2250,0,
 1655061771338.61743164062,,,,,,2242,-5115,2242,0,
 1655061771372.09521484375,,,,,,2234,-3610,2234,0,
 1655061771405.87817382812,,,,,,2228,-1914,2228,0,
 1655061771439.56958007812,,,,,,2205,-129,2205,0,
 1655061771483.66748046875,,,,,,,,,,66
 1655061771486.81079101562,,,,,,2209,1660,2209,0,
 1655061771506.46411132812,,,,,,2159,3285,2159,0,
 1655061771540.33862304687,,,,,,2124,4656,2124,0,
 1655061771573.72485351562,,,,,,2103,5658,2103,0,
 1655061771607.59936523437,,,,,,2078,6238,2078,0,
 1655061771640.955078125,,,,,,2023,6315,2023,0,
 1655061771675.68408203125,,,,,,2008,5924,2008,0,
 1655061771681.75708007812,,,,65,100,,,,
 1655061771708.337890625,,,,,,1972,5080,1972,0,
 1655061771742.36499023437,,,,,,1936,3863,1936,0,
 1655061771775.93432617187,,,,,,1933,2336,1933,0,
 1655061771809.412109375,,,,,,1884,587,1884,0,
 1655061771842.9814453125,,,,,,1832,-1254,1832,0,
 1655061771876.64233398437,,,,,,1850,-3088,1850,0,
 1655061771910.1201171875,,,,,,1871,-4818,1871,0,
 1655061771922.8154296875,0.05285644531,-0.02502441406,-1.00280761718,,,,,,,,
 1655061771944.11669921875,,,,,,1914,-6338,1914,0,
 1655061771977.625,,,,,,1991,-7557,1991,0,
 1655061772011.072265625,,,,,,2063,-8421,2063,0,
 1655061772071.4970703125,,,,,,2084,-8899,2084,0,
 1655061772112.2685546875,,,,,,2112,-8561,2112,0,
 1655061772145.80737304687,,,,,,2073,-7769,2073,0,
 1655061772179.34619140625,,,,,,2081,-6570,2081,0,
 1655061772213.03759765625,,,,,,2068,-5049,2068,0,
 1655061772246.66796875,,,,,,2050,-3256,2050,0,
 1655061772279.87109375,,,,,,2059,-1287,2059,0,
 1655061772313.65405273437,,,,,,2028,737,2028,0,
 1655061772347.10131835937,,,,,,2023,2718,2023,0,
 1655061772380.91479492187,,,,,,1988,4553,1988,0,
 1655061772414.30102539062,,,,,,1948,6103,1948,0,
 1655061772448.572265625,,,,,,1900,7259,1900,0,
 1655061772467.76782226562,,,,,,,,,,66
 1655061772481.53125,,,,,,1870,7947,1870,0,
 1655061772515.466796875,,,,,,1821,8107,1821,0,
 1655061772549.67700195312,,,,,,1789,7706,1789,0,
 1655061772555.59741210937,,,,65,100,,,,
 1655061772582.94116210937,,,,,,1771,6767,1771,0,
 1655061772616.052734375,,,,,,1715,5311,1715,0,
 1655061772649.92724609375,,,,,,1697,3463,1697,0,
 1655061772683.40502929687,,,,,,1671,1309,1671,0,
 1655061772720.02612304687,,,,,,1651,-981,1651,0,
 1655061772725.27514648437,0.04907226562,-0.02844238281,-1.00756835937,,,,,,,,
 1655061772751.0625,,,,,,1611,-3292,1611,0,
 1655061772784.84545898437,,,,,,1581,-5463,1581,0,
 1655061772818.26220703125,,,,,,1608,-7344,1608,0,
 1655061772851.6484375,,,,,,1634,-8821,1634,0,
 1655061772885.18725585937,,,,,,1694,-9816,1694,0,
 1655061772919.03125,,,,,,1740,-10267,1740,0,
 1655061772952.478515625,,,,,,1805,-10156,1805,0,
 1655061772986.13940429687,,,,,,1837,-9533,1837,0,
 1655061773068.84204101562,,,,,,1819,-8469,1819,0,
 1655061773087.18310546875,,,,,,1790,-5320,1790,0,
 1655061773121.02709960937,,,,,,1775,-3461,1775,0,
 1655061773154.16918945312,,,,,,1765,-1555,1765,0,
 1655061773187.92163085937,,,,,,1771,296,1771,0,
 1655061773221.521484375,,,,,,1754,1987,1754,0,
 1655061773255.12133789062,,,,,,1764,3456,1764,0,
 1655061773288.72119140625,,,,,,1725,4608,1725,0,
 1655061773322.2294921875,,,,,,1718,5431,1718,0,
 1655061773355.98193359375,,,,,,1690,5874,1690,0,
 1655061773389.3681640625,,,,,,1653,5931,1653,0,
 1655061773424.06665039062,,,,,,1622,5609,1622,0,
 1655061773430.1396484375,,,,66,100,,,,
 1655061773503.65649414062,,,,,,,,,,66
 1655061773506.43359375,,,,,,1560,3947,1560,0,
 1655061773521.66186523437,0.046875,-0.02673339843,-1.01013183593,,,,,,,,
 1655061773557.79467773437,,,,,,1498,2693,1498,0,
 1655061773591.150390625,,,,,,1441,1209,1441,0,
 1655061773625.0859375,,,,,,1429,-398,1429,0,
 1655061773658.50268554687,,,,,,1406,-2071,1406,0,
 1655061773692.25512695312,,,,,,1418,-3719,1418,0,
 1655061773725.85498046875,,,,,,1472,-5229,1472,0,
 1655061773759.66845703125,,,,,,1516,-6499,1516,0,
 1655061773793.48193359375,,,,,,1580,-7424,1580,0,
 1655061773826.95971679687,,,,,,1641,-7954,1641,0,
 1655061773860.49853515625,,,,,,1662,-8043,1662,0,
 1655061773893.97631835937,,,,,,1661,-7661,1661,0,
 1655061773927.51513671875,,,,,,1627,-6833,1627,0,
 1655061773961.23706054687,,,,,,1620,-5596,1620,0,
 1655061773994.80639648437,,,,,,1603,-4008,1603,0,
 1655061774068.99462890625,,,,,,1598,-2182,1598,0,
 1655061774095.85009765625,,,,,,1564,1751,1564,0,
 1655061774129.81616210937,,,,,,1569,3621,1569,0,
 1655061774162.927734375,,,,,,1562,5269,1562,0,
 1655061774196.7412109375,,,,,,1540,6583,1540,0,
 1655061774230.03588867187,,,,,,1469,7480,1469,0,
 1655061774263.78833007812,,,,,,1446,7928,1446,0,
 1655061774298.15112304687,,,,,,1414,7906,1414,0,
 1655061774304.01049804687,,,,67,100,,,,
 1655061774322.7177734375,0.04638671875,-0.0341796875,-1.01220703125,,,,,,,,
 1655061774332.1171875,,,,,,1399,7408,1399,0,
 1655061774364.4658203125,,,,,,1362,6460,1362,0,
 1655061774398.30981445312,,,,,,1348,5130,1348,0,
 1655061774431.69604492187,,,,,,1329,3475,1329,0,
 1655061774459.55859375,,,,,,,,,,67
 1655061774467.64575195312,,,,,,1308,1598,1308,0,
 1655061774499.04833984375,,,,,,1304,-415,1304,0,
 1655061774532.86181640625,,,,,,1308,-2495,1308,0,
